日付,商品カテゴリ名,総売上個数,総売上金額,単価平均
2018-01-01,映画 - DVD,295,133380,426.89516129032256
2018-01-01,PCゲーム - 通常版,138,92090,614.4827586206897
2018-01-01,音楽 - その他,105,47590,446.4646464646465
2018-01-01,ゲーム - ゲーム機C,79,203330,2567.4647887323945
2018-01-01,映画 - ブルーレイ,48,47320,998.1818181818181
2018-01-01,ゲーム - ゲーム機B,35,119990,3394.375
2018-01-01,ギフト - 小型ゲーム,8,4360,545.0
2018-01-01,ギフト - カード、パズル等,37,25960,693.030303030303
2018-01-01,ギフト - フィギュア,7,19990,2681.25
2018-01-01,PCソフト - PCソフト,4,17280,4320.0
2018-01-01,映画 - ブルーレイ3D,18,30660,1748.8235294117646
2018-01-01,ギフト - ぬいぐるみ,14,13020,876.1538461538462
2018-01-01,ゲーム - ゲーム機A,53,57670,1060.8163265306123
2018-01-01,映画 - セット商品,16,23090,1443.125
2018-01-01,ギフト - ボードゲーム,13,20570,1582.3076923076924
2018-01-01,音楽 - CD,15,10890,726.0
2018-01-01,ギフト - ガジェット類,20,24130,1451.764705882353
2018-01-01,本 - オーディオブック_タイプA,14,6270,447.85714285714283
2018-01-01,ギフト - 記念品_タイプA,4,4170,1042.5
2018-01-01,ギフト - 記念品_タイプB,7,4440,634.2857142857143
2018-01-01,本 - 教育用,4,2370,592.5
2018-01-01,ゲーム - 付属品(購入特典),8,11520,1440.0
2018-01-01,ゲーム周辺機器 - ゲーム機B,10,27190,2719.0
2018-01-01,ゲーム周辺機器 - ゲーム機A,9,11600,1288.888888888889
2018-01-01,本 - オーディオブック_タイプB,5,2300,460.0
2018-01-02,映画 - DVD,1154,534170,422.2810810810811
2018-01-02,PCゲーム - 通常版,802,556020,660.6656346749226
2018-01-02,音楽 - その他,398,195200,484.82666666666665
2018-01-02,ゲーム - ゲーム機C,334,917040,2706.4527027027025
2018-01-02,映画 - ブルーレイ,230,214160,921.4285714285714
2018-01-02,ゲーム - ゲーム機B,180,576380,3126.8125
2018-01-02,ギフト - 小型ゲーム,91,43850,483.6666666666667
2018-01-02,ギフト - カード、パズル等,89,75200,857.6543209876543
2018-01-02,ギフト - フィギュア,24,56860,2354.0
2018-01-02,PCソフト - PCソフト,35,148810,4154.545454545455
2018-01-02,映画 - ブルーレイ3D,78,137040,1790.8450704225352
2018-01-02,ギフト - ぬいぐるみ,60,66270,1099.6296296296296
2018-01-02,ゲーム - ゲーム機A,202,213250,1042.7173913043478
2018-01-02,映画 - セット商品,67,119280,1775.0
2018-01-02,ギフト - ボードゲーム,52,87600,1711.6
2018-01-02,音楽 - CD,50,24130,481.4583333333333
2018-01-02,ギフト - ガジェット類,83,120360,1638.2608695652175
2018-01-02,本 - オーディオブック_タイプA,24,10930,455.4166666666667
2018-01-02,ギフト - 記念品_タイプA,10,11640,1168.3333333333333
2018-01-02,ギフト - 記念品_タイプB,23,20040,845.3333333333334
2018-01-02,本 - 教育用,6,4290,740.0
2018-01-02,ゲーム - 付属品(購入特典),38,46260,1235.8333333333333
2018-01-02,ゲーム周辺機器 - ゲーム機B,35,81150,2358.3870967741937
2018-01-02,音楽 - レコード,8,19710,2379.0
2018-01-02,ゲーム周辺機器 - ゲーム機A,43,64610,1506.6666666666667
2018-01-02,本 - オーディオブック_タイプB,7,3150,450.0
2018-01-03,映画 - DVD,1087,468630,398.4415584415584
2018-01-03,PCゲーム - 通常版,744,505340,656.4563106796116
2018-01-03,音楽 - その他,381,177380,468.099173553719
2018-01-03,ゲーム - ゲーム機C,255,683620,2694.9115044247787
2018-01-03,映画 - ブルーレイ,188,172420,907.9651162790698
2018-01-03,ゲーム - ゲーム機B,138,427240,3110.3053435114502
2018-01-03,ギフト - 小型ゲーム,63,28520,485.0
2018-01-03,ギフト - カード、パズル等,82,78120,920.5263157894736
2018-01-03,ギフト - フィギュア,41,100850,2324.814814814815
2018-01-03,PCソフト - PCソフト,61,172110,2899.0
2018-01-03,映画 - ブルーレイ3D,68,126430,1839.2307692307693
2018-01-03,ギフト - ぬいぐるみ,62,55610,949.0909090909091
2018-01-03,ゲーム - ゲーム機A,179,186420,1038.0645161290322
2018-01-03,映画 - セット商品,76,127390,1684.9333333333334
2018-01-03,ギフト - ボードゲーム,58,109630,1878.392857142857
2018-01-03,音楽 - CD,52,25780,495.4901960784314
2018-01-03,ギフト - ガジェット類,74,87780,1272.258064516129
2018-01-03,本 - オーディオブック_タイプA,37,16460,444.86486486486484
2018-01-03,ギフト - 記念品_タイプA,17,19960,1176.5
2018-01-03,ギフト - 記念品_タイプB,37,30990,805.3846153846154
2018-01-03,本 - 教育用,5,3260,652.0
2018-01-03,ゲーム - 付属品(購入特典),44,59780,1330.4761904761904
2018-01-03,ゲーム周辺機器 - ゲーム機B,34,62350,1876.0714285714287
2018-01-03,音楽 - レコード,9,25920,2880.0
2018-01-03,ゲーム周辺機器 - ゲーム機A,35,69530,1913.030303030303
2018-01-03,本 - オーディオブック_タイプB,13,6000,461.53846153846155
2018-01-04,映画 - DVD,1007,451850,410.1939393939394
2018-01-04,PCゲーム - 通常版,690,480210,669.1039426523297
2018-01-04,音楽 - その他,340,154950,454.1141141141141
2018-01-04,ゲーム - ゲーム機C,258,706620,2688.782608695652
2018-01-04,映画 - ブルーレイ,136,113000,848.72
2018-01-04,ゲーム - ゲーム機B,128,401050,3188.448275862069
2018-01-04,ギフト - 小型ゲーム,70,33050,531.4285714285714
2018-01-04,ギフト - カード、パズル等,65,63550,985.0
2018-01-04,ギフト - フィギュア,13,29530,2271.5384615384614
2018-01-04,PCソフト - PCソフト,77,209680,2860.1612903225805
2018-01-04,映画 - ブルーレイ3D,69,109590,1554.5454545454545
2018-01-04,ギフト - ぬいぐるみ,57,51240,939.1836734693877
2018-01-04,ゲーム - ゲーム機A,177,187320,1052.051282051282
2018-01-04,映画 - セット商品,64,116210,1859.672131147541
2018-01-04,ギフト - ボードゲーム,44,72510,1649.5238095238096
2018-01-04,音楽 - CD,41,19350,473.25
2018-01-04,ギフト - ガジェット類,50,53990,1132.0
2018-01-04,本 - オーディオブック_タイプA,34,17900,526.4705882352941
2018-01-04,ギフト - 記念品_タイプA,12,14010,1196.3636363636363
2018-01-04,ギフト - 記念品_タイプB,45,32230,711.6216216216217
2018-01-04,本 - 教育用,8,5650,706.25
2018-01-04,ゲーム - 付属品(購入特典),29,35760,1233.103448275862
2018-01-04,ゲーム周辺機器 - ゲーム機B,31,79360,2709.2
2018-01-04,音楽 - レコード,3,9520,3173.3333333333335
2018-01-04,ゲーム周辺機器 - ゲーム機A,25,49800,2011.304347826087
2018-01-04,本 - オーディオブック_タイプB,11,4660,423.6363636363636
2018-01-05,映画 - DVD,953,399480,388.36385836385836
2018-01-05,PCゲーム - 通常版,700,465520,639.9660441426146
2018-01-05,音楽 - その他,352,166410,467.3313782991202
2018-01-05,ゲーム - ゲーム機C,250,676650,2704.372294372294
2018-01-05,映画 - ブルーレイ,169,158990,918.6792452830189
2018-01-05,ゲーム - ゲーム機B,120,373160,3118.761061946903
2018-01-05,ギフト - 小型ゲーム,70,37520,545.925925925926
2018-01-05,ギフト - カード、パズル等,61,70600,1159.107142857143
2018-01-05,ギフト - フィギュア,18,37880,2104.4444444444443
2018-01-05,PCソフト - PCソフト,50,128460,2714.318181818182
2018-01-05,映画 - ブルーレイ3D,60,108760,1786.842105263158
2018-01-05,ギフト - ぬいぐるみ,44,40120,922.439024390244
2018-01-05,ゲーム - ゲーム機A,148,145570,983.3082706766917
2018-01-05,映画 - セット商品,51,81180,1591.764705882353
2018-01-05,ギフト - ボードゲーム,36,60270,1674.1666666666667
2018-01-05,音楽 - CD,35,17200,491.42857142857144
2018-01-05,ギフト - ガジェット類,62,98470,1649.090909090909
2018-01-05,本 - オーディオブック_タイプA,20,9710,480.0
2018-01-05,ギフト - 記念品_タイプA,9,9950,1105.5555555555557
2018-01-05,ギフト - 記念品_タイプB,21,17990,836.875
2018-01-05,本 - 教育用,17,12430,735.625
2018-01-05,ゲーム - 付属品(購入特典),25,35170,1384.1666666666667
2018-01-05,ゲーム周辺機器 - ゲーム機B,27,52320,1937.7777777777778
2018-01-05,音楽 - レコード,7,22170,2803.3333333333335
2018-01-05,ゲーム周辺機器 - ゲーム機A,38,69070,1902.2857142857142
2018-01-05,本 - オーディオブック_タイプB,3,1260,420.0
2018-01-06,映画 - DVD,826,363210,409.8743016759777
2018-01-06,PCゲーム - 通常版,607,411510,654.481409001957
2018-01-06,音楽 - その他,344,159080,463.52941176470586
